Title;Link
Film | Broey Deschanel;https://www.youtube.com/@BroeyDeschanel
Film | Criterion Essays;https://www.criterion.com/current/category/2-essays
Film | Eyebrow Cinema;https://www.youtube.com/@EyebrowCinema
Film | Letterboxd Top 250 Narrative Feature Films;https://letterboxd.com/dave/list/official-top-250-narrative-feature-films/
Film | Red Letter Media;https://www.youtube.com/@RedLetterMedia
Film | The Criterion Channel;https://www.criterionchannel.com/browse
Literature | Benjamin McEvoy;https://www.youtube.com/channel/UCJPpE22GR3Tt8TJQmFtQjwQ
Literature | Better Than Food;https://www.youtube.com/channel/UCrY6MKSkOlKDBISvM2zEgoQ
Literature | Internet Archive;https://archive.org/
Literature | Musser Public Library;https://musser-bett.na2.iiivega.com/
Literature | Project Gutenberg;https://www.gutenberg.org/
Media | Vargskelethor Joel Highlights;https://www.youtube.com/channel/UC1O1dhQcJQTycjcoeTSiuuw
Media | Vargskelethor Joel Streams;https://www.youtube.com/channel/UCRNCUBq676nUhXyy8AJzD5w
Media | YouTube;https://youtube.com
Metal | Autolysia;https://www.youtube.com/@autolysia
Metal | BANGERTV;https://www.youtube.com/@BangerTV
Metal | Bard Methodology;https://www.bardomethodology.com/archive/
Metal | Black Metal Promotion;https://www.youtube.com/channel/UCzCWehBejA23yEz3zp7jlcg
Metal | Blood Harvest Records;https://bloodharvestrecords.bandcamp.com/
Metal | Closed Casket Activities;https://closedcasketactivities.bandcamp.com/
Metal | Crustbag;https://www.youtube.com/channel/UCINRguMC3BVU1MgEmtnwEZQ
Metal | Dark Descent Records;https://darkdescentrecords.bandcamp.com/
Metal | Debemur Morti Productions;https://dmp666.bandcamp.com/
Metal | Hell's Headbangers;https://hellsheadbangers.bandcamp.com/
Metal | Hypnotic Dirge;https://hypnoticdirgerecords.bandcamp.com/
Metal | Invictus Productions;https://invictusproductions666.bandcamp.com/
Metal | Iron Bonehead Productions;https://ironboneheadproductions.bandcamp.com/
Metal | Metal Archives;https://www.metal-archives.com/
Metal | Nuclear Blast;https://nuclearblast.bandcamp.com/artists
Metal | Peaceville;https://peaceville.bandcamp.com/
Metal | Profound Lore Records;https://profoundlorerecords.bandcamp.com/
Metal | Season Of Mist;https://seasonofmist.bandcamp.com/
Metal | Send Back My Stamps;https://www.sendbackmystamps.org/
Metal | Thralls of Metal;https://www.youtube.com/@thrallsofmetal
Personal | United Way Volunteering Needs;https://unitedwaymuscatine.galaxydigital.com/need/
Technology | Ansible Documentation;https://docs.ansible.com/
Technology | Arch Wiki;https://wiki.archlinux.org/title/Main_page
Technology | Bread on Penguins;https://www.youtube.com/channel/UCwHwDuNd9lCdA7chyyquDXw
Technology | Claude;https://claude.ai/
Technology | Dave's Garage;https://www.youtube.com/@DavesGarage
Technology | Docker Documentation;https://docs.docker.com/
Technology | FreeBSD Handbook;https://docs.freebsd.org/en/books/handbook/
Technology | Gentoo Wiki;https://wiki.gentoo.org/wiki/Main_Page
Technology | Grafana Documentation;https://grafana.com/docs/
Technology | Hacker News;https://news.ycombinator.com/
Technology | Julia Evans;https://jvns.ca/
Technology | Kubernetes Documentation;https://kubernetes.io/docs/home/
Technology | Linux Kernel Documentation;https://docs.kernel.org/
Technology | Linux Manual Pages;https://linux.die.net/man/
Technology | Linux Weekly News;https://lwn.net/
Technology | Lobste.rs;https://lobste.rs/
Technology | Microsoft Documentation;https://learn.microsoft.com/en-us/docs/
Technology | MITRE ATT&CK;https://attack.mitre.org/
Technology | Niemeir Computing;https://nniemeir.github.io
Technology | Nir Lichtman;https://www.youtube.com/channel/UCAMu6Dso0ENoNm3sKpQsy0g
Technology | POSIX Specification;https://pubs.opengroup.org/onlinepubs/9799919799/
Technology | RHEL Documentation;https://docs.redhat.com/en